population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,49.09061592,541.4247411,81.84139039,0,0.097715739,1303.033084,196.3624637,327.3655616,492.3341252,ADD
LO-Cisco,9.0°C,35.92962495,659.7628795,104.9065725,2.66E-07,0.000129842,1319.647036,143.7184998,419.62629,623.8332546,ADD
LO-Cisco,9.0°C,103.1101689,599.7879757,40.95668606,2.04E-05,0,1304.189347,412.4406756,163.8267443,496.6778068,ADD
LO-Cisco,9.0°C,50.30020244,569.8528031,70.67479497,4.683534778,6.380886407,1223.082303,201.2008097,282.6991799,519.5526006,ADD
LO-Cisco,9.0°C,29.09435566,580.8562781,90.53649582,0,25.72048251,1307.167935,116.3774226,362.1459833,551.7619225,ADD
LO-Cisco,9.0°C,50.28890319,492.9944454,78.56210607,32.56675562,92.24634797,1261.196859,201.1556128,314.2484243,442.7055422,ADD
LO-Cisco,9.0°C,73.70321937,645.1723741,80.79760226,1.32E-05,13.85441754,1242.864659,294.8128775,323.1904091,571.4691547,ADD
LO-Cisco,9.0°C,53.57843834,563.3586328,114.055016,0,0.000920841,1264.642527,214.3137534,456.2200639,509.7801944,ADD
LO-Cisco,9.0°C,90.09248051,681.4319998,26.38662259,0,0.021424092,1236.44662,360.369922,105.5464904,591.3395193,ADD
LO-Cisco,9.0°C,72.61193084,674.5389564,78.43127254,2.90E-05,11.19664936,1264.59545,290.4477234,313.7250902,601.9270256,ADD
LO-Cisco,9.0°C,48.92083071,588.6263888,108.0570938,9.371331071,3.230537236,1192.664404,195.6833228,432.2283751,539.7055581,ADD
LO-Cisco,9.0°C,29.48075715,523.2786604,117.1188209,5.93E-06,23.19810845,1207.387316,117.9230286,468.4752838,493.7979033,ADD
LO-Cisco,9.0°C,119.2517839,526.6009623,50.46741056,0,1.77E-05,1308.014205,477.0071357,201.8696423,407.3491784,ADD
LO-Cisco,9.0°C,66.26542527,666.201688,84.4744536,2.670786375,15.72470974,1307.251525,265.0617011,337.8978144,599.9362628,ADD
LO-Cisco,9.0°C,50.35931558,523.5077309,56.51128958,22.41317319,1.12E-05,1263.373241,201.4372623,226.0451583,473.1484154,ADD
LO-Cisco,9.0°C,9.356744885,459.0819255,167.3963274,10.18579778,5.98E-06,1270.411078,37.42697954,669.5853095,449.7251806,ADD
LO-Cisco,9.0°C,74.31827239,508.5426494,36.95741805,10.22305582,0,1275.504613,297.2730895,147.8296722,434.224377,ADD
LO-Cisco,9.0°C,105.5381348,610.0134421,53.44863303,0,0,1244.705855,422.1525391,213.7945321,504.4753073,ADD
LO-Cisco,9.0°C,84.67182651,615.1788783,46.42776239,0,7.39E-07,1286.421108,338.6873061,185.7110496,530.5070518,ADD
LO-Cisco,9.0°C,68.56442336,625.227969,98.27381791,1.92444919,6.653221978,1244.333233,274.2576934,393.0952716,556.6635456,ADD
LO-Cisco,9.0°C,52.05175936,580.4775302,66.37344755,0.000100119,0.003836358,1313.669137,208.2070375,265.4937902,528.4257708,ADD
LO-Cisco,9.0°C,62.82351846,530.5309972,92.54492019,4.365885896,1.82E-05,1281.76957,251.2940738,370.1796808,467.7074788,ADD
LO-Cisco,9.0°C,50.35460975,599.6396982,92.0251459,2.282175384,0.000563814,1247.617185,201.418439,368.1005836,549.2850884,ADD
LO-Cisco,9.0°C,56.79752903,573.1111883,118.6058863,0,7.61E-05,1245.832724,227.1901161,474.4235453,516.3136593,ADD
LO-Cisco,9.0°C,31.81351164,518.0545204,81.02187677,0,50.41867341,1255.591491,127.2540465,324.0875071,486.2410088,ADD
LO-Cisco,9.0°C,51.42654048,559.7857094,104.7954359,2.79E-06,12.96057421,1199.772783,205.7061619,419.1817437,508.3591689,ADD
LO-Cisco,9.0°C,49.5702552,525.7505951,61.43402041,6.746305199,59.53307075,1203.584253,198.2810208,245.7360816,476.1803399,ADD
LO-Cisco,9.0°C,74.38181291,498.1960195,79.53088211,2.477686013,41.23052907,1246.438314,297.5272517,318.1235284,423.8142066,ADD
LO-Cisco,9.0°C,35.85918969,475.2758718,88.64820176,7.755556206,40.50913053,1286.887847,143.4367588,354.592807,439.4166821,ADD
LO-Cisco,9.0°C,81.32350954,578.1357141,42.76540101,12.75354678,4.07E-06,1256.775199,325.2940382,171.061604,496.8122045,ADD
LO-Cisco,9.0°C,57.32168895,616.1422954,68.81737454,1.07E-06,1.79E-06,1299.223816,229.2867558,275.2694981,558.8206064,ADD
LO-Cisco,9.0°C,95.81580926,666.8700065,65.04079727,4.352073199,0,1257.46041,383.263237,260.1631891,571.0541972,ADD
LO-Cisco,9.0°C,78.31074442,605.0457932,111.180035,20.10212182,21.23279415,1159.073945,313.2429777,444.7201402,526.7350488,ADD
LO-Cisco,9.0°C,57.93547555,615.2496452,53.28358469,5.230212594,0.00042298,1311.651932,231.7419022,213.1343387,557.3141696,ADD
LO-Cisco,9.0°C,105.5946937,546.4833756,84.49584876,11.07608372,21.99400959,1187.570102,422.3787748,337.983395,440.8886819,ADD
LO-Cisco,9.0°C,70.62615956,572.64587,50.10168307,3.634518638,22.80848345,1269.958459,282.5046382,200.4067323,502.0197104,ADD
LO-Cisco,9.0°C,24.51936377,559.105441,68.52912098,0,0.053271911,1310.118516,98.07745507,274.1164839,534.5860772,ADD
LO-Cisco,9.0°C,66.02816121,547.9882087,102.456462,9.26809983,27.50930524,1179.966281,264.1126448,409.825848,481.9600475,ADD
LO-Cisco,9.0°C,92.11351142,679.5704987,78.25318827,0,7.996699556,1229.600585,368.4540457,313.0127531,587.4569873,ADD
LO-Cisco,9.0°C,40.13141301,713.6946881,72.18452271,10.36821509,0,1258.58649,160.525652,288.7380908,673.5632751,ADD
LO-Cisco,9.0°C,82.43243629,510.7760322,72.76417596,0,26.43264278,1326.415122,329.7297451,291.0567038,428.3435959,ADD
LO-Cisco,9.0°C,50.95559411,553.7391413,51.32311084,44.14289151,110.4295861,1225.244362,203.8223764,205.2924434,502.7835472,ADD
LO-Cisco,9.0°C,71.06311501,606.1581877,56.79954735,12.0801846,0,1173.659587,284.25246,227.1981894,535.0950727,ADD
LO-Cisco,9.0°C,65.94008462,578.0413805,83.79461873,4.330683589,41.01753088,1309.708832,263.7603385,335.1784749,512.1012958,ADD
LO-Cisco,9.0°C,31.86547723,518.8582635,71.64701419,30.12572192,18.32266072,1280.653243,127.4619089,286.5880567,486.9927863,ADD
LO-Cisco,9.0°C,54.64594284,536.6172773,82.79437656,0,0,1267.972006,218.5837713,331.1775062,481.9713345,ADD
LO-Cisco,9.0°C,77.6662585,490.8756769,34.34932971,39.4867888,19.02919862,1249.54719,310.665034,137.3973188,413.2094184,ADD
LO-Cisco,9.0°C,90.78954769,556.7105583,42.01419001,0,4.818945685,1327.060046,363.1581908,168.05676,465.9210106,ADD
LO-Cisco,9.0°C,42.86847552,575.6432282,94.23876147,0,0,1210.284699,171.4739021,376.9550459,532.7747527,ADD
LO-Cisco,9.0°C,38.93638831,628.2359803,63.27192051,0,0,1273.747052,155.7455533,253.087682,589.299592,ADD
LO-Cisco,9.0°C,64.82661888,655.9762046,60.66177771,3.128956317,0,1241.230685,259.3064755,242.6471108,591.1495857,ADD
LO-Cisco,9.0°C,67.83037307,604.7720795,66.09885447,1.689623814,4.73E-07,1216.590451,271.3214923,264.3954179,536.9417065,ADD
LO-Cisco,9.0°C,61.5801616,670.5535704,54.81365515,0,0,1226.984841,246.3206464,219.2546206,608.9734088,ADD
LO-Cisco,9.0°C,90.48511637,587.3215124,64.49275026,1.591218523,43.28162174,1228.901198,361.9404655,257.971001,496.836396,ADD
LO-Cisco,9.0°C,28.54363858,567.975835,69.62070528,1.55E-07,23.80443435,1309.606823,114.1745543,278.4828211,539.4321964,ADD
LO-Cisco,9.0°C,10.83388973,584.4923626,111.8402964,0,12.02707102,1281.131249,43.33555892,447.3611855,573.6584728,ADD
LO-Cisco,9.0°C,58.36947424,540.6191555,52.82531085,23.16096696,41.4977477,1296.685705,233.4778969,211.3012434,482.2496813,ADD
LO-Cisco,9.0°C,83.51905403,695.6760712,30.92411725,1.20E-06,0,1264.715761,334.0762161,123.696469,612.1570172,ADD
LO-Cisco,9.0°C,62.39846843,742.9638275,46.2972544,0,3.04E-05,1220.447595,249.5938737,185.1890176,680.565359,ADD
LO-Cisco,9.0°C,48.96034963,531.1586886,78.25325741,15.49082727,0.000706967,1252.350631,195.8413985,313.0130296,482.198339,ADD
LO-Cisco,9.0°C,54.94408702,536.2120099,93.66390742,3.26E-06,8.06E-05,1339.277311,219.7763481,374.6556297,481.2679229,ADD
LO-Cisco,9.0°C,27.64089513,635.1689025,93.22975019,1.471634201,8.789964534,1266.097397,110.5635805,372.9190007,607.5280074,ADD
LO-Cisco,9.0°C,96.55533785,476.607243,78.75990885,2.422659973,0,1319.27849,386.2213514,315.0396354,380.0519051,ADD
LO-Cisco,9.0°C,64.51121065,578.848642,72.31688133,0,4.39E-05,1294.464168,258.0448426,289.2675253,514.3374313,ADD
LO-Cisco,9.0°C,79.086227,536.4089845,63.09985425,14.70225383,38.81602476,1246.360886,316.344908,252.399417,457.3227575,ADD
LO-Cisco,9.0°C,34.52719187,500.4500871,68.93955338,0,63.04822497,1340.475013,138.1087675,275.7582135,465.9228952,ADD
LO-Cisco,9.0°C,78.83969493,623.8434824,44.6497418,0,0,1300.199867,315.3587797,178.5989672,545.0037875,ADD
LO-Cisco,9.0°C,55.353754,576.7233392,83.56896362,0,3.185016586,1315.050772,221.415016,334.2758545,521.3695852,ADD
LO-Cisco,9.0°C,83.67984372,551.4739087,71.86403692,0.209841673,30.74690744,1185.050632,334.7193749,287.4561477,467.794065,ADD
LO-Cisco,9.0°C,66.15339388,622.7581935,97.22562684,0,0,1201.505163,264.6135755,388.9025074,556.6047997,ADD
LO-Cisco,9.0°C,95.38233948,500.5128116,50.20524866,35.50660897,84.43143733,1156.595337,381.5293579,200.8209946,405.1304721,ADD
LO-Cisco,9.0°C,27.60475247,593.2621884,120.4809607,15.60965839,0,1265.222881,110.4190099,481.9238429,565.657436,ADD
LO-Cisco,9.0°C,66.35800226,648.0608204,62.13441554,9.99785679,1.25E-05,1241.767687,265.4320091,248.5376622,581.7028182,ADD
LO-Cisco,9.0°C,92.37472438,500.6735065,43.62010426,0,66.90086549,1272.880525,369.4988975,174.480417,408.2987821,ADD
LO-Cisco,9.0°C,90.47012208,559.5777128,90.70666038,0,1.56E-05,1312.869913,361.8804883,362.8266415,469.1075907,ADD
LO-Cisco,9.0°C,68.95653649,588.0221195,47.32458509,0,3.979527208,1360.187489,275.826146,189.2983404,519.065583,ADD
LO-Cisco,9.0°C,53.67681024,581.6803668,85.86822328,3.59E-07,4.462226872,1332.837804,214.707241,343.4728931,528.0035566,ADD
LO-Cisco,9.0°C,17.53669798,562.7070162,130.7985168,0,66.1747869,1264.149405,70.1467919,523.1940672,545.1703183,ADD
LO-Cisco,9.0°C,64.19207763,660.7105684,100.0099089,0,3.885799725,1274.499846,256.7683105,400.0396355,596.5184908,ADD
LO-Cisco,9.0°C,59.60500638,614.3651612,40.95264529,11.66186287,49.33763112,1275.926109,238.4200255,163.8105812,554.7601548,ADD
LO-Cisco,9.0°C,82.28766253,578.9151538,83.85843297,11.14445568,53.08571209,1222.647429,329.1506501,335.4337319,496.6274913,ADD
LO-Cisco,9.0°C,52.48607906,587.4855892,72.87350048,8.52080196,0.069810207,1328.781058,209.9443162,291.4940019,534.9995102,ADD
