population,temperature,sire,dam,dam.sire,tray,block,residual,additive,nonadd,maternal,trait
LO-Cisco,9.0°C,0.129446205,0.719862948,0.564065579,0.009873933,1.71E-10,3.289868134,0.517784821,2.256262316,0.590416743,survival
LO-Cisco,9.0°C,0.140648548,0.624045565,0.239337038,0.04435124,9.71E-07,3.289868134,0.56259419,0.95734815,0.483397017,survival
LO-Cisco,9.0°C,0.292697997,0.564423848,0.340234475,0,0,3.289868134,1.170791986,1.360937902,0.271725851,survival
LO-Cisco,9.0°C,0.260670498,0.78918396,0.283590105,0,7.75E-10,3.289868134,1.042681992,1.134360421,0.528513463,survival
LO-Cisco,9.0°C,0.087730885,0.908987915,0.38463691,1.30E-09,3.53E-08,3.289868134,0.350923542,1.538547639,0.821257029,survival
LO-Cisco,9.0°C,0.141630003,0.768342143,0.176166312,0.01050561,7.89E-07,3.289868134,0.566520011,0.704665248,0.62671214,survival
LO-Cisco,9.0°C,0.277572373,0.695062528,0.312918946,0,2.63E-10,3.289868134,1.110289491,1.251675782,0.417490155,survival
LO-Cisco,9.0°C,0.38423212,0.713016405,0.155536839,0.058654552,0,3.289868134,1.536928479,0.622147355,0.328784285,survival
LO-Cisco,9.0°C,0.221638587,0.684300252,0.150964077,0,0,3.289868134,0.886554349,0.60385631,0.462661665,survival
LO-Cisco,9.0°C,0.185616107,0.74178653,0.354369597,0.070471068,2.34E-09,3.289868134,0.742464428,1.417478388,0.556170423,survival
LO-Cisco,9.0°C,0.187964427,0.921562954,0.28037185,0.029475535,2.78E-06,3.289868134,0.75185771,1.121487399,0.733598526,survival
LO-Cisco,9.0°C,0.255730386,0.750743201,0.239303279,0,1.24E-09,3.289868134,1.022921543,0.957213117,0.495012815,survival
LO-Cisco,9.0°C,0.149622039,0.533087202,0.336663145,4.97E-07,0.044870598,3.289868134,0.598488156,1.346652581,0.383465163,survival
LO-Cisco,9.0°C,0.323899846,0.700864634,0.24239297,0.04477056,3.90E-10,3.289868134,1.295599383,0.969571878,0.376964788,survival
LO-Cisco,9.0°C,0.208546496,0.943952821,0.149283663,0.077345619,2.29E-06,3.289868134,0.834185986,0.597134651,0.735406325,survival
LO-Cisco,9.0°C,0.271136495,0.927657255,0.438163515,0,0,3.289868134,1.084545982,1.752654062,0.656520759,survival
LO-Cisco,9.0°C,0.24575819,0.823372317,0.405959454,0,0,3.289868134,0.983032762,1.623837817,0.577614126,survival
LO-Cisco,9.0°C,0.306137117,0.860899409,0.187521098,0.075005739,2.35E-06,3.289868134,1.224548467,0.750084394,0.554762292,survival
LO-Cisco,9.0°C,0.338476129,0.822805526,0.266806062,0.01355783,2.60E-10,3.289868134,1.353904517,1.067224247,0.484329397,survival
LO-Cisco,9.0°C,0.243636491,0.707652726,0.303555748,7.18E-10,0,3.289868134,0.974545963,1.214222993,0.464016236,survival
LO-Cisco,9.0°C,0.285045144,0.669122756,0.137701574,1.73E-10,0.0156438,3.289868134,1.140180577,0.550806297,0.384077611,survival
LO-Cisco,9.0°C,0.391509466,0.767816035,0.264328451,0.021223672,1.26E-06,3.289868134,1.566037862,1.057313802,0.37630657,survival
LO-Cisco,9.0°C,0.469793507,1.040528645,0.067582468,0.008981744,9.85E-09,3.289868134,1.879174027,0.270329872,0.570735139,survival
LO-Cisco,9.0°C,0.102968326,0.881703187,0.450115416,0,0,3.289868134,0.411873304,1.800461666,0.778734861,survival
LO-Cisco,9.0°C,0.190061782,0.705256142,0.22849266,0.005645981,1.62E-09,3.289868134,0.760247129,0.913970641,0.51519436,survival
LO-Cisco,9.0°C,0.284594031,0.874600415,0.168488565,0,2.46E-10,3.289868134,1.138376126,0.673954258,0.590006384,survival
LO-Cisco,9.0°C,0.202662819,0.816371871,0.144809757,1.21E-10,0,3.289868134,0.810651275,0.579239027,0.613709052,survival
LO-Cisco,9.0°C,0.177712977,0.854868664,0.26258061,0,0,3.289868134,0.710851908,1.05032244,0.677155687,survival
LO-Cisco,9.0°C,0.198446657,0.671682009,0.21775364,0,0,3.289868134,0.793786629,0.87101456,0.473235352,survival
LO-Cisco,9.0°C,0.151494095,0.608471872,0.257187296,1.49E-09,1.85E-10,3.289868134,0.605976382,1.028749183,0.456977776,survival
LO-Cisco,9.0°C,0.165598478,0.722649784,0.305141362,0,1.82E-09,3.289868134,0.662393912,1.220565449,0.557051306,survival
LO-Cisco,9.0°C,0.189572182,0.84205627,0.23246332,0,8.72E-10,3.289868134,0.758288728,0.92985328,0.652484088,survival
LO-Cisco,9.0°C,0.32216446,0.685794173,0.122351382,0,1.34E-09,3.289868134,1.288657839,0.489405527,0.363629713,survival
LO-Cisco,9.0°C,0.254060648,0.696723641,0.226964313,6.32E-07,1.32E-06,3.289868134,1.016242593,0.907857253,0.442662992,survival
LO-Cisco,9.0°C,0.224666533,0.821117528,0.079713401,0.038413219,0,3.289868134,0.898666133,0.318853605,0.596450995,survival
LO-Cisco,9.0°C,0.28570925,0.788419913,0.398143615,0,0,3.289868134,1.142836998,1.592574458,0.502710664,survival
LO-Cisco,9.0°C,0.153397588,0.826683529,0.188351258,0.049127598,7.20E-09,3.289868134,0.613590353,0.753405032,0.673285941,survival
LO-Cisco,9.0°C,0.121568025,0.698674408,0.333090645,0,0,3.289868134,0.486272102,1.332362579,0.577106382,survival
LO-Cisco,9.0°C,0.204996109,0.622731659,0.322779845,9.04E-10,2.25E-09,3.289868134,0.819984435,1.29111938,0.417735551,survival
LO-Cisco,9.0°C,0.368864428,0.611670672,0.146512963,0.065789916,9.14E-09,3.289868134,1.475457712,0.586051853,0.242806244,survival
LO-Cisco,9.0°C,0.109282939,0.7423286,0.23564922,0.050677393,3.10E-06,3.289868134,0.437131758,0.942596879,0.633045661,survival
LO-Cisco,9.0°C,0.214891779,0.695943412,0.225497552,0.030892046,1.30E-10,3.289868134,0.859567116,0.901990209,0.481051633,survival
LO-Cisco,9.0°C,0.228766794,0.877896349,0.133333842,0.045687432,3.17E-10,3.289868134,0.915067177,0.53333537,0.649129555,survival
LO-Cisco,9.0°C,0.310497918,0.695841342,0.290942637,0.066581873,1.73E-06,3.289868134,1.24199167,1.16377055,0.385343425,survival
LO-Cisco,9.0°C,0.323397021,0.712583783,0.200323016,0,1.76E-10,3.289868134,1.293588084,0.801292065,0.389186762,survival
LO-Cisco,9.0°C,0.372959776,0.746469673,0.32922236,0.018360005,1.52E-08,3.289868134,1.491839105,1.31688944,0.373509897,survival
LO-Cisco,9.0°C,0.241548421,0.53326273,0.14660293,3.29E-09,1.77E-08,3.289868134,0.966193684,0.586411719,0.291714309,survival
LO-Cisco,9.0°C,0.175114437,0.660767435,0.335894223,0.102471916,1.75E-09,3.289868134,0.700457749,1.343576892,0.485652998,survival
LO-Cisco,9.0°C,0.17933029,0.843298096,0.315489026,2.44E-10,2.66E-08,3.289868134,0.71732116,1.261956105,0.663967805,survival
LO-Cisco,9.0°C,0.212388807,0.715193415,0.150324181,2.62E-09,1.02E-08,3.289868134,0.84955523,0.601296724,0.502804608,survival
LO-Cisco,9.0°C,0.284337343,0.837887767,0.177344009,0,5.60E-10,3.289868134,1.137349372,0.709376036,0.553550424,survival
LO-Cisco,9.0°C,0.344718421,0.910924411,0.181624328,1.09E-10,1.10E-10,3.289868134,1.378873685,0.726497312,0.56620599,survival
LO-Cisco,9.0°C,0.093689308,0.858745326,0.210838189,1.39E-10,0,3.289868134,0.374757232,0.843352755,0.765056018,survival
LO-Cisco,9.0°C,0.198185037,0.95481113,0.323003331,0,7.24E-09,3.289868134,0.79274015,1.292013322,0.756626093,survival
LO-Cisco,9.0°C,0.121705222,0.747419071,0.226511595,0.034505135,3.67E-06,3.289868134,0.48682089,0.906046381,0.625713848,survival
LO-Cisco,9.0°C,0.139789455,0.546587919,0.24306351,0.168961578,1.88E-10,3.289868134,0.559157819,0.97225404,0.406798465,survival
LO-Cisco,9.0°C,0.24923854,0.719080015,0.111007612,0.10279361,1.34E-06,3.289868134,0.99695416,0.444030448,0.469841475,survival
LO-Cisco,9.0°C,0.142973575,0.814816948,0.108716465,0,0,3.289868134,0.571894301,0.434865861,0.671843373,survival
LO-Cisco,9.0°C,0.159108935,0.905004678,0.244026248,3.02E-08,8.71E-10,3.289868134,0.63643574,0.976104993,0.745895743,survival
LO-Cisco,9.0°C,0.391317456,0.820311632,0.240197302,0.008419634,2.15E-09,3.289868134,1.565269824,0.960789208,0.428994176,survival
