"date","cross","trt","plate","plate.no","well.no","length.pix","calib.pix","length.mm"
2019-05-06,"F11M14",2,12,"1-12B","1-12B-2",327.88,29.2366666666667,11.2146847565842
2019-05-08,"F11M14",2,12,"1-12A","1-12A-3",309.77,29.0033333333333,10.6804964946558
2019-05-08,"F11M14",2,12,"1-12A","1-12A-5",294.79,29.0033333333333,10.1640041374555
2019-05-08,"F11M14",2,12,"1-12B","1-12B-1",315.06,29.0033333333333,10.8628893230663
2019-05-08,"F11M14",2,12,"1-12B","1-12B-6",324.94,29.0033333333333,11.2035398230088
2019-05-08,"F01M02",2,12,"1-12D","1-12D-5",331.28,29.0033333333333,11.4221353867372
2019-05-09,"F01M02",2,12,"1-12D","1-12D-5",330.54,29.0333333333333,11.3848450057405
2019-05-10,"F01M02",2,12,"1-12C","1-12C-4",342.4,28.8466666666667,11.8696556505662
2019-05-15,"F11M14",2,12,"1-12A","1-12A-1",312.35,28.2166666666667,11.0696987595983
2019-05-15,"F11M14",2,12,"1-12A","1-12A-4",318.96,28.2166666666667,11.3039574719433
2019-05-15,"F11M14",2,12,"1-12B","1-12B-3",319.25,28.2166666666667,11.3142350856468
2019-05-15,"F11M14",2,12,"1-12B","1-12B-4",334.09,28.2166666666667,11.8401653868872
2019-05-15,"F11M14",2,12,"1-12B","1-12B-5",333.78,28.2166666666667,11.8291789722386
2019-05-15,"F01M02",2,12,"1-12C","1-12C-2",334.12,28.2166666666667,11.8412285883048
2019-05-15,"F01M02",2,12,"1-12C","1-12C-3",328.35,28.2166666666667,11.6367395156527
2019-05-15,"F01M02",2,12,"1-12C","1-12C-5",331.97,28.2166666666667,11.76503248671
2019-05-15,"F01M02",2,12,"1-12C","1-12C-6",355.18,28.2166666666667,12.5875959834613
2019-04-25,"F06M06",2,13,"1-13A","1-13A-6",320.89,29.01,11.0613581523613
2019-05-08,"F06M06",2,13,"1-13B","1-13B-1",317.93,29.0433333333333,10.9467462412487
2019-05-08,"F06M06",2,13,"1-13B","1-13B-3",327.39,29.0433333333333,11.2724664294732
2019-05-10,"F06M06",2,13,"1-13A","1-13A-1",338.13,29.18,11.5877313228239
2019-05-10,"F06M06",2,13,"1-13B","1-13B-4",325.46,29.18,11.1535298149417
2019-05-10,"F10M14",2,13,"1-13C","1-13C-2",331.85,29.18,11.3725154215216
2019-05-10,"F10M14",2,13,"1-13D","1-13D-3",324.28,29.18,11.1130911583276
2019-05-10,"F10M14",2,13,"1-13D","1-13D-2",247.08,29.3866666666667,8.40789473684211
2019-05-15,"F06M06",2,13,"1-13A","1-13A-3",321.71,28.3433333333333,11.3504645419264
2019-05-15,"F06M06",2,13,"1-13A","1-13A-4",318.95,28.3433333333333,11.2530871457133
2019-05-15,"F06M06",2,13,"1-13A","1-13A-5",333.35,28.3433333333333,11.7611431259555
2019-05-15,"F06M06",2,13,"1-13B","1-13B-5",346.44,28.3433333333333,12.2229801246619
2019-05-15,"F06M06",2,13,"1-13B","1-13B-6",329.48,28.3433333333333,11.6246030812654
2019-05-15,"F10M14",2,13,"1-13C","1-13C-1",299.41,28.3433333333333,10.5636834058568
2019-05-15,"F10M14",2,13,"1-13C","1-13C-4",326.2,28.3433333333333,11.5088792190991
2019-05-15,"F10M14",2,13,"1-13C","1-13C-5",333.34,28.3433333333333,11.7607903093026
2019-05-15,"F10M14",2,13,"1-13C","1-13C-6",342.4,28.3433333333333,12.0804421968717
