"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",72.0320308573109,538.185638584289,92.843969071562,52.5392592360892,1169.40799502039,288.128123429244,371.375876286248,466.153607726978,"ADD"
"LO-Cisco","9.0°C",60.1223125507902,640.027678777677,62.1287306594452,0.000787066382729658,1223.46169931198,240.489250203161,248.514922637781,579.905366226887,"ADD"
"LO-Cisco","9.0°C",55.0852363749672,559.521958206724,127.076060283927,14.053129660177,1244.52110198088,220.340945499869,508.304241135707,504.436721831757,"ADD"
"LO-Cisco","9.0°C",88.2082560892139,601.426209131184,31.0812158855686,66.3158688031983,1315.64859798018,352.833024356856,124.324863542275,513.21795304197,"ADD"
"LO-Cisco","9.0°C",56.1499298608018,571.49973616843,99.8372678039548,6.6162623733212,1199.79010306171,224.599719443207,399.349071215819,515.349806307628,"ADD"
"LO-Cisco","9.0°C",73.6476660310356,522.168301333618,53.7750389210558,31.4633870958665,1251.60689761001,294.590664124142,215.100155684223,448.520635302582,"ADD"
"LO-Cisco","9.0°C",57.1715263620915,540.100463890003,106.65557817814,44.3522936982162,1271.91139786911,228.686105448366,426.62231271256,482.928937527911,"ADD"
"LO-Cisco","9.0°C",24.0617913025685,539.469812851761,100.605956021775,20.749551870902,1252.01211751504,96.247165210274,402.4238240871,515.408021549193,"ADD"
"LO-Cisco","9.0°C",55.6040615823972,548.833307586791,107.482196433043,21.0079497394709,1334.99654799097,222.416246329589,429.928785732171,493.229246004393,"ADD"
"LO-Cisco","9.0°C",86.67828233774,553.814510999855,62.8891338641486,0,1290.45076129705,346.71312935096,251.556535456594,467.136228662115,"ADD"
"LO-Cisco","9.0°C",69.2743519659648,583.313790804798,56.0180235307977,3.48774412299741,1295.12797620723,277.097407863859,224.072094123191,514.039438838833,"ADD"
"LO-Cisco","9.0°C",81.4380029802239,636.676797815727,112.219211677831,6.37059527009949,1155.24845937039,325.752011920896,448.876846711325,555.238794835504,"ADD"
"LO-Cisco","9.0°C",46.1909999069286,563.771957372355,52.8176594678039,54.1418726382135,1301.87095871145,184.763999627714,211.270637871216,517.580957465426,"ADD"
"LO-Cisco","9.0°C",110.47125000049,583.803919211826,90.1992643000583,3.31642828696001,1284.45072249217,441.885000001959,360.797057200233,473.332669211336,"ADD"
"LO-Cisco","9.0°C",42.6045383168152,581.722272104122,62.3551929621575,9.47039185565569e-06,1231.06525272183,170.418153267261,249.42077184863,539.117733787307,"ADD"
"LO-Cisco","9.0°C",67.0754540013805,559.814141750441,45.5538212020673,37.5511786805025,1202.5587198763,268.301816005522,182.215284808269,492.73868774906,"ADD"
"LO-Cisco","9.0°C",45.6687031428107,579.99428035515,58.6537853546101,1.77190754139281e-06,1250.54771579636,182.674812571243,234.61514141844,534.325577212339,"ADD"
"LO-Cisco","9.0°C",62.0188787206938,564.955712750544,87.4614582200298,26.40362433179,1214.23580103808,248.075514882775,349.845832880119,502.93683402985,"ADD"
"LO-Cisco","9.0°C",71.3451703939954,598.520733354269,81.958728899972,22.3824832209562,1297.17085808768,285.380681575982,327.834915599888,527.175562960273,"ADD"
"LO-Cisco","9.0°C",47.6601041800685,615.934522755265,104.260080649002,2.38954109759477e-06,1254.36065520516,190.640416720274,417.04032259601,568.274418575197,"ADD"
"LO-Cisco","9.0°C",98.5695093644494,635.362424278768,112.664796582185,3.88336096231601e-05,1219.81515271297,394.278037457798,450.659186328738,536.792914914319,"ADD"
"LO-Cisco","9.0°C",89.8563231555496,478.733825092363,125.375892417067,40.4984419907318,1297.93664317003,359.425292622198,501.503569668267,388.877501936814,"ADD"
"LO-Cisco","9.0°C",42.7437993141385,575.817135596539,117.392338178867,0.865532979524434,1261.99151493164,170.975197256554,469.569352715468,533.0733362824,"ADD"
