"population","temperature","sire","dam","dam.sire","block","residual","additive","nonadd","maternal","trait"
"LO-Cisco","9.0°C",0.706526903334678,8.09356823233203,0.981805434604815,3.27444738412846e-07,15.6793570696608,2.82610761333871,3.92722173841926,7.38704132899735,"dpf"
"LO-Cisco","9.0°C",0.809147326625396,8.06039322512008,1.05854529042262,1.05070173449165e-07,16.6878674088434,3.23658930650158,4.23418116169046,7.25124589849468,"dpf"
"LO-Cisco","9.0°C",0.722845334563787,7.53985192355363,1.37641229419607,0,15.8505587820789,2.89138133825515,5.50564917678429,6.81700658898985,"dpf"
"LO-Cisco","9.0°C",0.108214772625074,9.87470193152625,1.22124561947691,0,15.8873455485626,0.432859090500298,4.88498247790765,9.76648715890117,"dpf"
"LO-Cisco","9.0°C",0.485679600152441,6.61434217817423,1.66167833658336,0.40311298416689,16.6487517849493,1.94271840060977,6.64671334633345,6.12866257802179,"dpf"
"LO-Cisco","9.0°C",0.40125939211679,8.22344742783561,1.50198449423109,0,16.4923024290604,1.60503756846716,6.00793797692437,7.82218803571882,"dpf"
"LO-Cisco","9.0°C",0.389356171288178,6.81079495156265,1.05961245619102,0.697189910623044,16.1685095104831,1.55742468515271,4.23844982476408,6.42143878027448,"dpf"
"LO-Cisco","9.0°C",1.59872840444172,6.88511957076726,1.18601725147849,0,16.3103697089786,6.3949136177669,4.74406900591396,5.28639116632553,"dpf"
"LO-Cisco","9.0°C",0.826198092311777,6.08717316476391,0.598828878863051,0.935911142941068,17.1148992830086,3.30479236924711,2.3953155154522,5.26097507245214,"dpf"
"LO-Cisco","9.0°C",1.15096652783167,6.10632687121495,0.883912709005114,0,16.681724013183,4.60386611132667,3.53565083602046,4.95536034338328,"dpf"
"LO-Cisco","9.0°C",0.685529060858251,7.78965137000227,1.36802913796485,0,17.4473377493696,2.74211624343301,5.47211655185938,7.10412230914401,"dpf"
"LO-Cisco","9.0°C",0.968555674942744,7.27345118751005,1.35572710004934,0.407750991833303,14.8590173611133,3.87422269977098,5.42290840019735,6.30489551256731,"dpf"
"LO-Cisco","9.0°C",0.925697060924542,8.67718670801106,0.532489817936327,0.0841999596435231,16.3434260097522,3.70278824369817,2.12995927174531,7.75148964708651,"dpf"
